name,domain,street1,street2,city,state,zip,country,hq_phone,linkedin_url,primary_naics,naics_code,sic_code,primary_sector,sector,primary_industry,industry,keywords,finance_department_size,hr_department_size,it_department_size,legal_department_size,marketing_department_size,operations_department_size,procurement_department_size,rnd_department_size,sales_department_size,accuracy_tier,company_id,year_founded,Artificial Intelligence & Machine Learning (Category),Other Emerging Technology (Category),"ABBYY Solutions, Ltd. (Provider)",Enertia Software (Provider),"Kofax, Ltd. (Provider)",NVIDIA Corporation (Provider),"OpenAI, LLC (Provider)",Tungsten Automation Corporation (Provider),HyperScience (Product),OpenText Captiva (Product),OpenText Intelligent Capture (Product),last_funding_round,last_funding_date,last_funding_amount,total_funding_amount
Advancing Eco Agriculture,advancingecoag.com,,,Middlefield,OH,44062-9345,US,(440) 693-4173,linkedin.com/company/advancingecoag,11,11,1; 2; 7; 8; 9,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","b2b, b2c, fulfillment center data set, logistics data set",6,,6,,4,13,2,5,16,Human Verified,1634995,2006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Grant,12/19/24,3800000,3800000
Select Milk Producers,selectmilk.com,5151 Belt Line Rd,,Dallas,TX,,US,(575) 746-6698,linkedin.com/company/select-milk-producers,1121,1121,21,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",Dairy & Animal Farming,Dairy & Animal Farming,"b2c, fulfillment center data set, logistics data set",4,,5,,4,11,1,4,12,Human Verified,1794174,1994,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Other,7/14/25,30000000,30000000
"QC Supply, A PS Operating Company LLC",qcsupply.com,574 Road 11,,Schuyler,NE,68661-0581,US,(888) 433-5275,linkedin.com/company/qcsupply,4532,4594; 4532; 11,1; 2; 7; 8; 9; 50; 51; 59; 504; 511; 519; 594,Retail Trade,"Retail Trade; Agriculture, Forestry, Fishing and Hunting",Miscellaneous Store Retailers,"Miscellaneous Store Retailers; Agriculture, Forestry, Fishing and Hunting","b2b, b2c, building supplies, buildings, consumer products, ecommerce, equipments, industrial, industrial machinery, industrial supplies, shippers, supplies",3,3,13,,6,43,1,10,24,Human Verified,1457983,1982,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
River Valley Cooperative,rivervalleycoop.com,254 E 90th St,,Davenport,IA,52806-7341,US,(563) 285-7820,linkedin.com/company/river-valley-cooperative,111199,111199,1; 2; 7; 8; 9; 11; 119; 13; 18; 19,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",Crop Farming,Crop Farming,"agronomic, b2b, b2c, energies, feeds, fulfillment center data set, logistics data set",13,1,14,,10,31,4,12,37,Human Verified,1476513,1906,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
"Alliance Ag & Grain, Llc",aaggllc.com,,,Spearville,KS,,US,,linkedin.com/company/allianceag,11,11,1; 2; 7; 8; 9,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",,2,,3,,2,6,1,2,7,Human Verified,77542648,2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
National Sorghum Producers,sorghumgrowers.com,4201 N Interstate 27,,Lubbock,TX,79403-7507,US,(806) 749-3478,linkedin.com/company/national-sorghum-producers,8132,8132; 11,1; 2; 7; 8; 9; 67; 83; 673; 839,Other Services (except Public Administration),"Other Services (except Public Administration); Agriculture, Forestry, Fishing and Hunting",Nonprofit and Charitable Organizations,"Nonprofit and Charitable Organizations; Agriculture, Forestry, Fishing and Hunting","b2b, b2c, energies, energy policy, legislative, policies, regulatory",1,,2,,2,9,,1,6,Human Verified,1517348,1955,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Sukup Manufacturing Company,sukup.com,1555 255th Street,,Sheffield,IA,50475-0677,US,(641) 892-4222,linkedin.com/company/sukup-manufacturing-co-,1119,1119,1; 2; 7; 8; 9; 19,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",Crop Farming,Crop Farming,"b2b, buildings, fabrication, steel, steel buildings, steel fabrication, distribution center-warehouse data set",25,2,27,1,20,59,7,22,69,Human Verified,1806260,1963,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Farmers Cooperative,farmersco-operative.com,208 W Depot St,,Dorchester,NE,68343,US,(402) 946-4631,linkedin.com/company/farmers-cooperative,4245,4245; 11,1; 2; 7; 8; 9; 51; 515,Wholesale Trade,"Wholesale Trade; Agriculture, Forestry, Fishing and Hunting",Farm Product Raw Material Merchant Wholesalers,"Farm Product Raw Material Merchant Wholesalers; Agriculture, Forestry, Fishing and Hunting","b2b, b2c, carriers, distribution center-warehouse data set",13,8,24,,16,61,1,18,100,Human Verified,1213872,1903,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Revol Greens,revolgreens.com,,,Owatonna,MN,55049,US,,linkedin.com/company/revol-greens,111422,112990; 111422,1; 2; 7; 8; 9; 18; 181; 27; 279,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",Crop Farming,Dairy & Animal Farming; Crop Farming,"animals, b2b, b2c, chemicals, environments, facilities, fulfillment center data set, greenhouse, irrigation, logistics data set, nutrition, technology, waters",7,,7,,5,16,2,6,18,Human Verified,35445141,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Private Equity,9/25/20,68000000,136000000
"Hiland Dairy Foods Company, LLC",hilanddairy.com,1133 E Kearney St,,Springfield,MO,65803-3435,US,(417) 862-9311,linkedin.com/company/hilanddairyfoods,1121,3115; 1121,21; 20; 202,"Agriculture, Forestry, Fishing and Hunting","Manufacturing; Agriculture, Forestry, Fishing and Hunting",Dairy & Animal Farming,"Food, Beverage, and Tobacco Manufacturing; Dairy & Animal Farming","b2b, b2c, carriers, consumer product goods, consumer products, consumers, dairy, distribution center-warehouse data set, fermentation, goods, ice cream, manufacturing center-plant data set, milk, shippers",18,2,42,1,19,66,5,34,85,Human Verified,1269717,1938,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Texas Bollweevil Eradication,txbollweevil.org,1761 State Highway 114,,Morton,TX,79346-6129,US,(325) 672-2800,linkedin.com/company/texas-bollweevil-eradication,1151,1151,71; 72,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Agriculture and Forestry,b2b,8,1,8,,6,18,2,7,21,Human Verified,1576634,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
"AgReserves, Inc.",agreserves.com,79 S Main St Ste 1100,,Salt Lake City,UT,84111-1945,US,(801) 715-9100,,111998,111998,1; 2; 7; 8; 9; 19; 191,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",Crop Farming,Crop Farming,"agricultural, agriculture, b2b, b2c, dairy, farming, fulfillment center data set, logistics data set, natural, natural resources, resources, sustainability, sustainable agriculture, traceability",31,2,34,1,25,74,9,28,86,Human Verified,2113957,1950,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
FARM CREDIT OF WESTERN KANSAS,fcwk.com,1190 S Range Ave,,Colby,KS,67701-3503,US,(785) 462-6714,https://www.linkedin.com/company/farm-credit-mid-america,11,11,1; 2; 7; 8; 9,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",,8,1,9,,6,19,2,7,23,Machine Verified,4572482,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Wylie Implement & Spray Centers,wyliesprayers.com,702 E 40th St,,Lubbock,TX,79404-3006,US,(888) 249-5162,linkedin.com/company/wylie-implement-&-spray-centers,4238,4238; 11,1; 2; 7; 8; 9; 50; 508,Wholesale Trade,"Wholesale Trade; Agriculture, Forestry, Fishing and Hunting","Machinery, Equipment, and Supplies Merchant Wholesalers","Machinery, Equipment, and Supplies Merchant Wholesalers; Agriculture, Forestry, Fishing and Hunting","agricultural, agriculture, b2b, b2c, farming, manufacturing, sprayers, distribution center-warehouse data set",3,2,5,,4,14,,4,23,Human Verified,1615954,1930,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Midwestern BioAg,midwesternbioag.com,10955 Blackhawk Drive,,Blue Mounds,WI,53517,US,(608) 437-4994,linkedin.com/company/midwestern-bioag,11,11,1; 2; 7; 8; 9,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","b2b, b2c",8,1,9,,7,20,2,7,23,Human Verified,1371738,1983,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
National Pork Board,pork.org,,,Clive,IA,50325,US,(800) 456-7675,linkedin.com/company/national-pork-board,5418,5418; 11,51; 73; 87; 519; 731; 733; 738; 874; 1; 2; 7; 8; 9,Professional & Consumer Services,"Professional & Consumer Services; Agriculture, Forestry, Fishing and Hunting","Marketing, Advertising, Public Relations, and Related Services","Marketing, Advertising, Public Relations, and Related Services; Agriculture, Forestry, Fishing and Hunting","b2b, business services, communications, consumer products, food, food service, marketing, research",4,4,13,,51,35,,4,13,Human Verified,1442934,1986,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Frontier Cooperative Company,frontiercooperative.com,,,Brainard,NE,68626-3516,US,(800) 869-0379,linkedin.com/company/frontier-cooperative,111998,111998,1; 2; 7; 8; 9; 19; 191,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",Crop Farming,Crop Farming,"agriculture, b2b, b2c, buildings, cultures, distribution center-warehouse data set, environments, families",9,1,9,,7,21,3,8,24,Human Verified,1230462,1915,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Eden Green Technology,edengreen.com,,,,,,US,(214) 600-1305,linkedin.com/company/eden-green-technology,111998,111998,1; 2; 7; 8; 9; 19; 191,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",Crop Farming,Crop Farming,"b2b, b2c, produce",3,,3,,2,7,1,3,8,Human Verified,46483876,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Standard Nutrition Company,standardnutrition.com,11924 Arbor St,,Omaha,NE,68144-2938,US,(402) 393-3198,linkedin.com/company/standard-nutrition,112111,112111,1; 2; 7; 8; 9; 21; 212,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",Dairy & Animal Farming,Dairy & Animal Farming,"b2b, b2c, consulting, environments, livestock, meats, nutrition",21,1,23,1,16,49,6,18,57,Human Verified,1525460,1886,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Livestock Nutrition Center LLC,lnc-online.com,4806 Moose Cir,,Guthrie,OK,73044-6907,US,(405) 260-1841,linkedin.com/company/livestock-nutrition-center-llc,11,11,1; 2; 7; 8; 9,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","b2b, b2c, fulfillment center data set, logistics data set",16,1,18,,13,39,5,15,46,Human Verified,1741007,1998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,